nr	ANNEX A: controls SECTION	section	ANNEX A: controls TITLE	Appendix A 27001 Control specification	HIGH LEVEL INTERPRETATION 	Decomposed USM statements	CTM	CHM	MIR	INC	OPS	RIM	TECH	SDC	ORG	SERV
798	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		ASSET_SW_SDCTOOL_REGOPS_RECORD exist for Background verification checks, taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.					OPS					
799	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
800	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
801	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		DOC_PROFILE_TASK_backgroundvercheck exist, responsible for carrying out background verification checks on all candidates to become personnel prior to joining the organization and on an ongoing basis, taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		CHM	MIR						ORG	
802	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		ORG is a class of MIC.		CHM	MIR						ORG	
803	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		ORG_UNIT is an Organization type Team.		CHM	MIR						ORG	
804	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		ORG_UNIT_PERSONNEL is an Organization type Team type Personnel.		CHM	MIR						ORG	
805	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_backgroundvercheck.		CHM	MIR						ORG	
806	People Controls	Annex A 6.2	Terms and Conditions of Employment	The employment contractual agreements shall state the personnel’s and the organization’s responsibilities for information security.	Personnel must have an employment agreement. The agreement shall state the information security responsibilities.											
807	People Controls	Annex A 6.2	Terms and Conditions of Employment	The employment contractual agreements shall state the personnel’s and the organization’s responsibilities for information security.		DOC is a class of MIC.		CHM	MIR							
808	People Controls	Annex A 6.2	Terms and Conditions of Employment	The employment contractual agreements shall state the personnel’s and the organization’s responsibilities for information security.		DOC_AGREE is a Document type Agreement.	CTM	CHM	MIR							
809	People Controls	Annex A 6.2	Terms and Conditions of Employment	The employment contractual agreements shall state the personnel’s and the organization’s responsibilities for information security.		DOC_AGREE_EMPLOYEE is a Document type Agreement for ORG_UNIT_PERSONNEL.	CTM	CHM	MIR							
